Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.6963204741477966,0.5929762125015259,0.26170358061790466,0.29275834560394287
2,0.6661302447319031,0.5831611752510071,0.28826427459716797,0.30414167046546936
3,0.6608560085296631,0.5771557092666626,0.29685714840888977,0.3111833333969116
4,0.6595069169998169,0.5782117247581482,0.3117392957210541,0.3572416603565216
5,0.6569342613220215,0.5738888382911682,0.335999995470047,0.37128332257270813
6,0.6564294695854187,0.5764639973640442,0.3500285744667053,0.38040000200271606
7,0.6548923254013062,0.5758288502693176,0.35682499408721924,0.40927499532699585
8,0.6536111831665039,0.5775318741798401,0.3527107238769531,0.3903583288192749
9,0.6505798101425171,0.5828179717063904,0.35939642786979675,0.38709166646003723
10,0.6494863033294678,0.580392599105835,0.3636035621166229,0.38394999504089355
11,0.6479945778846741,0.5834646224975586,0.3621000051498413,0.38806667923927307
12,0.6460666060447693,0.5853456258773804,0.3615214228630066,0.3721083402633667
13,0.6453073620796204,0.5861297249794006,0.36300358176231384,0.366225004196167
14,0.6445730924606323,0.5927863717079163,0.3636821508407593,0.35339999198913574
15,0.6441405415534973,0.5884315371513367,0.3651607036590576,0.3937999904155731
16,0.6427364349365234,0.5998222827911377,0.3716607093811035,0.34819167852401733
17,0.6432133316993713,0.5909707546234131,0.37276071310043335,0.37906667590141296
18,0.6417690515518188,0.5945005416870117,0.3715499937534332,0.3761333227157593
19,0.6408954858779907,0.590182363986969,0.37972500920295715,0.37876665592193604
20,0.6398188471794128,0.5906724333763123,0.37950000166893005,0.3888833224773407
21,0.638949990272522,0.5989113450050354,0.38040000200271606,0.3243499994277954
22,0.639240562915802,0.594218373298645,0.3694392740726471,0.3534500002861023
23,0.6383408308029175,0.5912011861801147,0.37521427869796753,0.36397498846054077
24,0.6375070810317993,0.6000180244445801,0.37629643082618713,0.342891663312912
25,0.6372267007827759,0.5934935808181763,0.3723500072956085,0.33814167976379395
26,0.6378166675567627,0.5920321345329285,0.3731749951839447,0.38202500343322754
27,0.6364520192146301,0.5852916240692139,0.37416428327560425,0.360108345746994
28,0.6360925436019897,0.6082625389099121,0.3788857161998749,0.3280999958515167
29,0.6358955502510071,0.6064192652702332,0.37431785464286804,0.3275916576385498
30,0.6349668502807617,0.605148434638977,0.3759285807609558,0.32953333854675293
