Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.16353239119052887,0.15374784171581268,0.5978642702102661,0.6565166711807251
2,0.14358286559581757,0.15134254097938538,0.6521607041358948,0.6163750290870667
3,0.14087308943271637,0.14809966087341309,0.633392870426178,0.6142666935920715
4,0.13973583281040192,0.14723674952983856,0.6490785479545593,0.6283249855041504
5,0.13903552293777466,0.14582741260528564,0.6398142576217651,0.6367999911308289
6,0.13858938217163086,0.14521175622940063,0.6447607278823853,0.671916663646698
7,0.1383870244026184,0.14581717550754547,0.6645464301109314,0.6917499899864197
8,0.13841482996940613,0.1452244371175766,0.6496071219444275,0.6203416585922241
9,0.13830555975437164,0.14466355741024017,0.6346714496612549,0.5739166736602783
10,0.13725592195987701,0.14471782743930817,0.6234607100486755,0.5871166586875916
11,0.13725605607032776,0.14396806061267853,0.642425000667572,0.628083348274231
12,0.13716046512126923,0.14423085749149323,0.6342714428901672,0.6550083160400391
13,0.13712888956069946,0.14401496946811676,0.628928542137146,0.5941833257675171
14,0.13709837198257446,0.14430248737335205,0.6545678377151489,0.6330833435058594
15,0.1370564103126526,0.1439216583967209,0.6349071264266968,0.6556416749954224
16,0.13700440526008606,0.14409662783145905,0.6612178683280945,0.6535083055496216
17,0.13696138560771942,0.14421316981315613,0.6407142877578735,0.6417333483695984
18,0.13703103363513947,0.1441180408000946,0.6210892796516418,0.6277333498001099
19,0.13688284158706665,0.14389516413211823,0.6183393001556396,0.6189083456993103
20,0.13677659630775452,0.1450166404247284,0.6439392566680908,0.5648833513259888
21,0.1369388848543167,0.1436825543642044,0.6372214555740356,0.6740166544914246
22,0.1367621123790741,0.14386212825775146,0.6323428750038147,0.6039749979972839
23,0.13671885430812836,0.143772691488266,0.6227678656578064,0.6639916896820068
24,0.13671626150608063,0.1441967934370041,0.6509321331977844,0.6559833288192749
25,0.13672444224357605,0.14370888471603394,0.6201714277267456,0.5906749963760376
26,0.13673217594623566,0.14384518563747406,0.6094071269035339,0.6007750034332275
27,0.13670127093791962,0.14374904334545135,0.5923749804496765,0.5816666483879089
28,0.1366177350282669,0.14399167895317078,0.6051285862922668,0.6223166584968567
29,0.1366892158985138,0.14350484311580658,0.5946785807609558,0.5786416530609131
30,0.13663330674171448,0.1437937319278717,0.5881392955780029,0.5936999917030334
