Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.7081836462020874,0.595327615737915,0.277657151222229,0.345466673374176
2,0.6647598743438721,0.5855781435966492,0.29509642720222473,0.3308583199977875
3,0.6566736102104187,0.5846092700958252,0.2913999855518341,0.27596667408943176
4,0.6534427404403687,0.5845862627029419,0.28806427121162415,0.27718332409858704
5,0.651039719581604,0.5836217999458313,0.2869464159011841,0.2680250108242035
6,0.6490501165390015,0.5847307443618774,0.2804499864578247,0.2676916718482971
7,0.6472219228744507,0.5860529541969299,0.27864643931388855,0.2617500126361847
8,0.6466323137283325,0.5903047323226929,0.27802857756614685,0.2749166786670685
9,0.6458134055137634,0.5860968232154846,0.27346429228782654,0.2604750096797943
10,0.644615113735199,0.5908685326576233,0.2777678668498993,0.28809165954589844
11,0.6427553296089172,0.580897331237793,0.2991321384906769,0.3024916648864746
12,0.6416211128234863,0.5882477164268494,0.3112392723560333,0.29428333044052124
13,0.6411296129226685,0.5939310193061829,0.30731427669525146,0.2874416708946228
14,0.64084392786026,0.5930544137954712,0.30683571100234985,0.27874165773391724
15,0.6403554677963257,0.5884226560592651,0.30230712890625,0.298883318901062
16,0.6399654746055603,0.5875139832496643,0.3042892813682556,0.2718166708946228
17,0.6398077607154846,0.5940680503845215,0.2927606999874115,0.26664999127388
18,0.639638364315033,0.5854889750480652,0.2881035804748535,0.26516667008399963
19,0.6394542455673218,0.5890547633171082,0.2894035577774048,0.2702583372592926
20,0.6393492221832275,0.587670624256134,0.28804999589920044,0.26213333010673523
21,0.6381994485855103,0.5906603336334229,0.28578928112983704,0.27006667852401733
22,0.6384937167167664,0.5898635983467102,0.28716427087783813,0.26026666164398193
23,0.6381530165672302,0.5899556875228882,0.293321430683136,0.26553332805633545
24,0.6388357281684875,0.5964531302452087,0.29793572425842285,0.25197499990463257
25,0.6383442878723145,0.5917153358459473,0.29242143034935,0.2629750072956085
26,0.6381122469902039,0.5929188132286072,0.2962964177131653,0.2687583267688751
27,0.6383845806121826,0.5935103297233582,0.2998107075691223,0.2694833278656006
28,0.6377071738243103,0.5921152234077454,0.3047785758972168,0.29206666350364685
29,0.6375862956047058,0.5917028188705444,0.3121035695075989,0.26723334193229675
30,0.6381757855415344,0.5916405320167542,0.30731070041656494,0.2776583433151245
